year,Kwethluk,Kisaralik,Aniak,Kipchuk,Salmon_Aniak,Holokuk,Oskawalik,Holitna,Kogrukluk,Cheeneetnuk,Gagaryah,Salmon_Pitka,Bear,Upper_Pitka_Fork
1976,NA,NA,NA,NA,NA,NA,NA,2571,NA,NA,NA,NA,182,NA
1977,2075,NA,NA,NA,NA,NA,NA,NA,NA,2407,897,1930,NA,NA
1978,1722,2417,NA,NA,289,NA,NA,2766,NA,268,504,1100,227,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,682,NA,NA
1980,NA,NA,NA,NA,1186,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,9074,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA
1982,NA,81,NA,NA,126,NA,NA,521,NA,NA,NA,413,127,NA
1983,471,NA,1909,NA,231,NA,NA,1069,NA,173,NA,572,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,NA,545,NA,NA
1985,NA,63,NA,NA,NA,NA,NA,NA,NA,1002,NA,620,NA,NA
1986,NA,NA,424,NA,336,NA,NA,650,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,193,516,NA,193,NA,NA,317,NA,NA,NA,NA
1988,622,869,954,NA,244,NA,80,NA,1987,NA,NA,474,NA,NA
1989,1157,152,2109,1598,631,NA,NA,NA,NA,NA,NA,452,NA,NA
1990,NA,631,1255,537,596,NA,113,NA,NA,NA,NA,NA,NA,NA
1991,NA,217,1564,885,583,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,2284,670,335,NA,91,2022,NA,1050,328,2536,NA,NA
1993,NA,NA,2687,1248,1082,233,103,1573,NA,678,419,1010,NA,NA
1994,NA,1243,NA,1520,1218,NA,NA,NA,NA,1206,807,1010,NA,NA
1995,NA,1243,3171,1215,1446,NA,326,1887,NA,1565,1193,1911,NA,NA
1996,NA,NA,NA,NA,985,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,439,2187,855,980,NA,1470,2093,NA,345,364,NA,NA,NA
1998,NA,457,1930,443,425,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,98,741,NA,NA,NA,NA,NA,NA
2000,NA,NA,714,182,238,NA,NA,301,NA,NA,NA,362,NA,151
2001,NA,NA,NA,NA,598,52,NA,4156,NA,NA,143,1033,175,NA
2002,1795,1727,NA,1615,1236,513,295,733,1204,730,452,1255,211,165
2003,2661,654,3514,1493,1242,1096,844,NA,3058,810,1095,1242,176,197
2004,6801,5157,5362,1868,2177,539,293,4051,7252,918,670,1138,206,290
2005,5059,2206,NA,1679,4097,510,582,1760,4954,1155,788,1801,367,744
2006,NA,4734,5639,1618,NA,705,386,1866,NA,1015,531,862,347,170
2007,NA,692,3984,2147,1458,NA,NA,NA,NA,NA,1035,943,165,131
2008,487,1074,3222,1061,589,418,213,NA,1641,290,177,1033,245,242
2009,NA,NA,NA,NA,NA,565,379,NA,NA,323,303,632,209,187
2010,NA,235,NA,NA,NA,229,NA,587,NA,NA,62,135,75,67
2011,NA,NA,NA,116,79,61,26,NA,NA,249,96,767,145,85
2012,NA,588,NA,193,49,36,51,NA,NA,229,178,670,NA,NA
2013,1165,599,754,261,154,NA,38,532,NA,138,74,469,64,NA
2014,NA,622,3201,1220,497,80,200,NA,NA,340,359,1865,NA,NA
2015,NA,709,NA,917,810,77,NA,662,NA,NA,NA,2016,NA,NA
2016,NA,622,718,898,NA,100,47,1157,NA,217,135,1578,580,NA
2017,NA,NA,1781,889,423,140,136,676,NA,660,453,687,492,234
