year,N.tot,S.tot
1976,187584,97037
1977,348824,255117
1978,241781,158309
1979,233787,137485
1980,357950,260982
1981,308660,198261
1982,173072,66071
1983,148278,66133
1984,171853,82677
1985,143568,61641
1986,123452,52840
1987,186184,81941
1988,204824,77061
1989,214081,87928
1990,266353,102167
1991,210525,97377
1992,259154,127881
1993,274830,175319
1994,411724,289094
1995,371079,236161
1996,307072,201561
1997,295259,203878
1998,184356,84140
1999,158770,80940
2000,129138,60905
2001,205152,126677
2002,226106,144445
2003,232282,164180
2004,366725,266084
2005,326904,235901
2006,326067,232409
2007,244754,146637
2008,219709,111613
2009,189370,103101
2010,112975,43541
2011,113749,49718
2012,79238,55746
2013,84311,36823
2014,84326,72560
2015,125058,108454
2016,128855,97640
2017,133267,116597
