"year","mean","sd","median","lwr95CI","upr95CI","cv"
1976,61969.4868153811,6050.7883162608,61843.7576440081,50336.94640665,74230.2262598212,0.0976414139798713
1977,51218.8456796826,4130.21164740476,51110.3822468825,43145.1206820965,59549.7812457451,0.0806385148395316
1978,54641.462203013,4981.02635296415,54445.9538901974,45207.4685990454,64808.6865664431,0.0911583649511028
1979,50483.7926503312,3942.20921336555,50368.4286317265,42795.6382333037,58420.9686897732,0.078088610352053
1980,51359.939013786,4085.17565670312,51236.5427857921,43396.456539199,59599.9604719158,0.0795401189165467
1981,70494.4488000544,6030.06408997522,70302.4903702912,58784.309336793,82422.5065299602,0.08553955939252
1982,61995.0567448101,3516.58483407872,61917.0814638441,55116.0832982882,68913.4758454306,0.0567236327979184
1983,51437.5142814652,4500.12910204245,51317.7093830557,42627.6295360845,60444.5559848855,0.0874872972558086
1984,47929.9578165868,4039.12084048323,47838.2839923794,39990.2280467756,56044.6013187385,0.0842713205786598
1985,44318.164918457,3596.0311552266,44233.5635095037,37247.4570312566,51408.7954632461,0.0811412467515996
1986,36095.1766257402,2886.45588879147,36023.5548659744,30521.5869576748,41900.2737230104,0.0799679114669597
1987,54721.8731325083,4351.9914341434,54603.595504175,46230.3571405459,63454.1990492041,0.0795292848182501
1988,70664.8778727228,5604.06347323771,70460.821174059,59859.7885154379,82218.3845179659,0.0793047924505212
1989,69780.5064143303,5595.09685451616,69659.526233303,58753.5806880038,81042.3895084838,0.0801813735958663
1990,86470.331105631,6492.39614298455,86280.4425399125,73897.8422814903,99552.0672747793,0.0750823555313271
1991,56808.828243776,4441.24893047367,56687.815138868,48082.8251799737,65701.4510380887,0.0781788512062869
1992,80367.4208928119,7249.05371180113,80145.3757883163,66150.8870994483,94951.9567609727,0.0901989093499638
1993,48383.1471430589,3666.04948142299,48268.152029866,41268.6091925818,55830.5415974809,0.0757712074946933
1994,61551.8668694679,4677.03581238158,61416.0530063907,52419.8964599587,70927.1898563115,0.0759852795740557
1995,67313.2210631958,4953.88297566157,67155.5597989825,57638.4551998949,77263.3820985612,0.073594501903433
1996,55971.0991969413,4455.26225791932,55836.6379572153,47286.1535142976,64927.8717160652,0.0795993346895497
1997,43843.3606297499,3287.92792566,43776.6321910613,37496.6802245723,50451.1618011755,0.0749926072826857
1998,54418.6657206837,4378.17686203369,54299.4264086325,45814.7176847856,63141.7098803189,0.0804535870928128
1999,39329.199820536,3098.59763234723,39235.7007609602,33218.1979776012,45539.8576638024,0.0787861854928784
2000,28281.3203692939,2038.09235499996,28224.1071676888,24339.5102371113,32391.1921342979,0.0720649647324386
2001,58705.8911185144,5961.73930422497,58538.8381562154,47336.6225891279,70841.7671933352,0.101552658355692
2002,41821.8866458621,3604.4993912086,41699.4112774392,34921.3696328967,49140.619584218,0.0861869150411756
2003,40770.0116968196,3291.38205625157,40690.1439754059,34319.6384993529,47313.1455539009,0.0807304663223416
2004,68012.8863390285,6282.94301371563,67766.9433557387,56367.9965282304,81033.3519236074,0.0923787145629522
2005,51586.5999566922,4228.84341064082,51485.3773918285,43445.050382868,60140.1672931416,0.0819756179742608
2006,56063.6634698776,5194.82378459527,55774.2023570303,46545.9153229279,67333.6553190445,0.0926593708487565
2007,60375.4654225539,4809.81349324395,60235.8105922646,50915.6467271328,70027.3839372896,0.0796650337944591
2008,64941.9441459685,5723.06862050063,64766.5397426222,53848.5828765991,76524.6563345828,0.0881259207090724
2009,47288.4126055166,3808.28807764258,47177.0682449567,39872.4256478675,54931.448607327,0.0805332187699257
2010,40276.6193025567,3161.34470922914,40204.8971475265,34139.2671724375,46569.8423565939,0.0784908158622058
2011,39676.3117106562,2808.03182702349,39609.5491269671,34174.6317382261,45271.3447451652,0.0707735095817717
2012,13403.6136014054,1088.29231282626,13360.9850915782,11298.4908291604,15622.4173184036,0.0811939485268477
2013,29887.9060953935,2919.36618718466,29780.4523706827,24279.9321812502,35902.7531115552,0.0976771734315175
2014,8568.03914319261,821.081347847538,8542.52696288335,6952.46454433744,10199.4546243226,0.0958307185722762
2015,8826.9897195779,696.852220705416,8805.28859553967,7463.59563950141,10222.1045299737,0.078945625048121
2016,16558.232145358,1350.62145865801,16520.7579180671,13943.0920454634,19300.0328027634,0.0815679745761173
2017,7941.99402182977,569.529137787786,7925.69715737839,6824.20193434931,9098.79077755478,0.0717111012955121
